id,DEM_PC_UTM
0,384.00000
1,110.00000
2,218.00000
3,96.00000
4,115.00000
5,381.00000
6,391.00000
7,342.00000
8,420.00000
9,409.00000
10,392.00000
11,87.00000
12,78.00000
13,147.00000
14,233.00000
15,359.00000
16,186.00000
17,212.00000
18,322.00000
19,354.00000
20,2.00000
21,128.00000
22,31.00000
23,218.00000
24,5.00000
25,2.00000
26,181.00000
27,251.00000
28,177.00000
29,224.00000
30,477.00000
31,113.00000
32,139.00000
33,144.00000
34,73.00000
35,106.00000
36,81.00000
37,145.00000
38,102.00000
39,68.00000
40,364.00000
41,287.00000
42,302.00000
43,275.00000
44,76.00000
45,400.00000
46,95.00000
47,212.00000
48,223.00000
49,4.00000
50,2.00000
51,310.00000
52,102.00000
53,195.00000
54,134.00000
55,112.00000
56,1.00000
57,1.00000
58,197.00000
59,92.00000
60,170.00000
61,200.00000
62,424.00000
63,443.00000
64,162.00000
65,134.00000
66,137.00000
67,162.00000
68,232.00000
69,166.00000
70,148.00000
71,5.00000
72,242.00000
