Longitude,Latitude,Reprojecte
92.1068,22.5746,10.33463
92.2153,22.1879,11.71062
91.7879,22.4731,3.42167
92.2246,22.1826,6.60041
92.2284,22.1986,19.50911
92.2270,22.2025,20.51832
92.2320,22.1899,5.97675
92.2264,22.1826,14.04645
92.2237,22.1834,7.96175
92.2240,22.1840,14.29110
92.1815,22.1697,12.36077
92.1786,22.1643,1.88157
92.1729,22.1410,0.74398
91.7870,22.4699,10.54761
92.0272,22.4579,1.66322
92.0281,22.4578,0.33273
91.7837,22.4767,4.00019
92.1247,22.4973,14.39749
92.1342,22.4953,8.42200
92.1391,22.5041,15.28986
92.1472,22.5095,18.48297
92.1524,22.5088,8.58633
92.1591,22.5054,6.16538
92.1705,22.5010,23.58223
92.1723,22.5006,13.34671
92.1782,22.4971,6.09423
92.1838,22.5494,4.93427
92.1937,22.4987,2.84059
92.1937,22.4988,2.84059
92.1950,22.4995,7.50055
92.1946,22.5004,8.49194
92.1884,22.5327,17.45614
92.1859,22.5428,8.61132
92.2144,22.5077,1.66322
92.2186,22.4982,3.75910
92.2107,22.5026,1.93944
92.2104,22.5026,1.66322
92.1654,22.6090,12.95858
92.1662,22.6068,18.10625
92.1693,22.5995,3.67018
92.1700,22.5942,8.66726
92.1709,22.5904,10.32950
92.1747,22.5781,6.28790
92.1766,22.5745,13.08153
92.1820,22.5559,7.88685
92.1826,22.5544,4.46746
92.1150,22.6322,8.59258
92.1206,22.6401,19.48486
92.1268,22.6441,16.51002
92.1316,22.6463,15.31942
92.1387,22.6489,19.32135
92.1436,22.6530,9.62639
92.1447,22.6509,7.39885
92.1479,22.6525,10.10102
92.1472,22.6533,3.78827
92.1463,22.6546,8.28676
92.1482,22.6557,6.70663
92.1478,22.6569,9.69259
92.1531,22.6589,5.97675
92.1547,22.6562,13.84859
92.1578,22.6514,6.69852
92.1574,22.6506,3.71491
92.1591,22.6487,6.09423
92.1456,22.6562,6.82708
92.1609,22.6482,4.97850
92.1616,22.6476,7.08458
92.1892,22.6408,3.38932
92.1974,22.6451,4.00019
92.1967,22.6460,1.88157
92.1978,22.6544,6.08527
92.1973,22.6491,9.33368
91.7906,22.4710,10.32950
92.2166,22.1878,13.95891
